NAME	B cell	T cell	ciliated columnar cell of tracheobronchial tree	classical monocyte	leukocyte	lung endothelial cell	myeloid cell	natural killer cell	stromal cell
Angpt2	1	1	1	1	1	1	1	1	107.679818478226
Angptl2	1	1	1	1	1	1	1	1	145.183876892302
Angptl4	1	1	1	1	1	1	1	1	634.484037301807
Ank3	1	1	183.935282671253	1	1	1	1	1	1
Ankhd1	1	1	28.3969643161225	1	1	1	100.97657588001	1	44.3152656099795
Ankib1	1	67.8651556738919	1	1	1	1	1	1	1
Ankrd10	1	361.877624031227	1	1	1	1	48.4919091774915	168.657194026441	1
Ankrd17	1	1	28.8032717832927	22.577959325342	36.1999602359925	1	12.2510563902045	174.197302088742	1
Ankrd33b	1	1	59.4796859620207	1	138.884451714	304.188747151061	1	1	1
Ankrd39	1	1	1	1	1	1	1	145.798588238812	1
Ankrd54	109.66438504015	1	187.503652078078	1	1	63.8326789068777	1	1	1
Anp32e	161.11404304235	62.9988990086077	1	83.000004350833	1	1	67.9747410114279	1	26.3363723374741
Antxr1	1	1	1	1	1	1	1	1	71.0895407098121
Antxr2	1	1	1	1	82.882089022209	1	38.0191934910893	1	97.5942822915302
Anxa1	1	1	1717.63049731411	1325.10818657413	1365.81839473951	1	709.487108545892	367.737395339602	674.808814615961
Anxa3	1	1	43.6090216759992	216.864262279623	1	952.55633501854	392.160357984481	1	1
Anxa8	1	1	550.810391290645	1	1	1	1	1	1
Ap1b1	126.269372248581	233.266853616102	1	40.3066575684696	1	1	63.1895950134453	1	1
Ap1g2	1	73.8710079799301	1	1	1	1	1	345.06819360286	1
Ap1s2	1	1	1	77.1974637533604	104.68301043703	1	32.4632113587661	1	51.8710596866109
Ap2b1	1	1	45.2559111516277	1	1	1	116.314206988618	30.0002524490108	1
Apbb1	1	1	210.565503700146	1	1	1	1	1	68.4960619991061
Apbb2	1	1	23.9129713876341	1	1	207.793676011022	1	1	62.3981767839216
