,B cell,T cell,ciliated columnar cell of tracheobronchial tree,classical monocyte,leukocyte,lung endothelial cell,myeloid cell,natural killer cell,stromal cell
25,0.13100594,0.11016827,0.111635946,0.12746263,0.032982633,0.03349046,0.35146236,0.072945386,0.028846415
26,0.03175857,0.033826694,0.52709246,0.11253044,0.03554912,0.05836439,0.054923743,0.10421368,0.041740898
27,0.050956044,0.056025945,0.042550612,0.23211968,0.043176234,0.052728575,0.066052444,0.41929346,0.037096906
28,0.04503955,0.0712959,0.11434178,0.36982182,0.04075702,0.058286536,0.07308555,0.085236095,0.14213572
29,0.053220138,0.06224916,0.07368745,0.06294969,0.07764216,0.04223575,0.22954254,0.15221237,0.24626075
30,0.056204975,0.0466924,0.14129296,0.06494002,0.16147575,0.090620324,0.11248504,0.036276348,0.29001218
31,0.036418278,0.06314244,0.06320401,0.122220926,0.031036278,0.07370692,0.12281784,0.45580944,0.031643875
32,0.033135023,0.08442829,0.12496575,0.066493675,0.093874566,0.026515441,0.18338865,0.19643985,0.19075882
33,0.062399115,0.2233069,0.039445084,0.07584328,0.02923037,0.06417038,0.1775153,0.10063871,0.22745079
34,0.04783987,0.08460788,0.1593581,0.35593423,0.03646209,0.07610663,0.063932285,0.1166076,0.059151333
35,0.044386286,0.0792876,0.07924938,0.17732517,0.11307923,0.043046683,0.20681717,0.040428717,0.2163797
36,0.12981556,0.054240342,0.14876728,0.26778525,0.04893014,0.08475538,0.17063041,0.05690941,0.038166303
37,0.06630279,0.06621887,0.055477906,0.41924706,0.12001623,0.053645603,0.067046836,0.07517553,0.07686915
38,0.19954367,0.046810694,0.15029892,0.094590396,0.034704417,0.026167171,0.09883314,0.27406245,0.07498918
39,0.023307681,0.27591914,0.022439994,0.050941613,0.12366027,0.1604982,0.10006903,0.20374131,0.03942279
40,0.136799,0.06980716,0.06360628,0.24268219,0.07308082,0.12382099,0.084853396,0.14999603,0.05535414
41,0.07339403,0.056678586,0.15130155,0.0742826,0.04316552,0.061324902,0.079489835,0.07481365,0.3855493
42,0.036743652,0.07656239,0.15188883,0.16980357,0.028804844,0.11285905,0.11382714,0.054801915,0.2547086
43,0.058886606,0.07611862,0.13118917,0.062132042,0.05570565,0.12148744,0.08680566,0.0654784,0.34219643
44,0.044545572,0.07558909,0.3149419,0.049476642,0.0740624,0.07260306,0.16585469,0.17740507,0.02552156
45,0.20614445,0.062285937,0.21788996,0.15887189,0.044179127,0.029270716,0.1575549,0.07642068,0.04738231
46,0.0560469,0.049345087,0.10451434,0.08775922,0.08074622,0.06848102,0.22353889,0.29180548,0.03776279
47,0.14168544,0.26735076,0.025963882,0.027836904,0.16806495,0.16367598,0.04741772,0.09075671,0.06724761
48,0.10158385,0.07411232,0.14252192,0.34095052,0.08930836,0.041155126,0.08430912,0.077859804,0.048198998
49,0.09973462,0.0803761,0.060706817,0.08435419,0.04466956,0.05707309,0.0695326,0.05790932,0.4456436
50,0.0815647,0.12121345,0.09444708,0.31789827,0.046827666,0.055106103,0.124149695,0.1087844,0.050008662
51,0.034906667,0.053257752,0.09233239,0.054465078,0.09559971,0.17917153,0.09496276,0.09991199,0.29539216
52,0.072898574,0.0656716,0.059015147,0.47477633,0.05044479,0.04550443,0.076304585,0.05381279,0.1015717
53,0.04536957,0.07255939,0.056972407,0.19322039,0.0949298,0.17926747,0.10635103,0.12054988,0.13078
54,0.11480286,0.061059006,0.09214806,0.071303666,0.07286721,0.02665431,0.26048493,0.13032821,0.17035179
55,0.037875082,0.08318043,0.40030986,0.04105459,0.027361754,0.02372261,0.086087644,0.1675167,0.13289131
56,0.16695824,0.11672541,0.027851766,0.12654416,0.09325707,0.20422989,0.058843296,0.18115287,0.024437245
57,0.04177196,0.07346429,0.069578156,0.1778648,0.036357123,0.08319489,0.17482598,0.069966756,0.27297607
58,0.04917426,0.038176924,0.032644887,0.034185227,0.15933082,0.35614932,0.059637915,0.24859187,0.022108765
59,0.04896302,0.044180136,0.4009195,0.12434181,0.12943275,0.09495165,0.07268485,0.031089064,0.053437207
