,B cell,T cell,ciliated columnar cell of tracheobronchial tree,classical monocyte,leukocyte,lung endothelial cell,myeloid cell,natural killer cell,stromal cell
29,0.06347422,0.09404304,0.18692008,0.18536769,0.057683155,0.07849056,0.08721262,0.11855956,0.12824911
30,0.049190037,0.07350578,0.12834546,0.12746933,0.056697212,0.0706026,0.15613264,0.17380475,0.1642522
31,0.050625954,0.096219055,0.13607937,0.15809086,0.06549914,0.07441416,0.124294825,0.117538765,0.17723791
32,0.045433905,0.09657961,0.20598005,0.12194127,0.07999652,0.07387068,0.12672073,0.12762064,0.12185653
33,0.04697313,0.054127872,0.25805205,0.13909695,0.052110918,0.045093935,0.09566301,0.08832897,0.22055314
34,0.05858913,0.10433142,0.07490519,0.23455924,0.059417505,0.066369325,0.1408416,0.16374314,0.09724342
35,0.05432391,0.095839575,0.1326916,0.2042022,0.05719679,0.063586,0.2002695,0.09591174,0.09597867
36,0.06063747,0.06314313,0.19003034,0.21171433,0.0676812,0.062444422,0.13558531,0.053317793,0.15544593
37,0.0657712,0.085630655,0.16619481,0.22411004,0.04689917,0.075654015,0.12205673,0.07747035,0.13621305
38,0.062796436,0.08049972,0.15547545,0.24103798,0.056236297,0.065648384,0.11277273,0.12280639,0.102726564
39,0.07161469,0.07124555,0.07597323,0.0964194,0.038820695,0.105636746,0.09400233,0.1258485,0.3204389
40,0.048619114,0.08375944,0.19454165,0.2555726,0.06472213,0.07345444,0.100889705,0.11348324,0.064957686
41,0.06819138,0.06503014,0.14159529,0.1532353,0.07921203,0.049748596,0.1517112,0.19059224,0.10068391
42,0.04995489,0.071525574,0.095059,0.19194537,0.053099707,0.0885127,0.16687518,0.07194008,0.21108745
43,0.06586418,0.08077055,0.193101,0.17033975,0.05995855,0.04065747,0.10230556,0.19439024,0.092612654
44,0.053326428,0.0899547,0.13467859,0.1689506,0.051695123,0.08233736,0.18403202,0.13684575,0.0981794
45,0.045126744,0.102428265,0.16131157,0.110671684,0.057285428,0.05760381,0.13266757,0.15130062,0.18160436
46,0.06692541,0.066808425,0.17790344,0.2118642,0.051618367,0.1148707,0.10694783,0.08227734,0.120784245
47,0.0650517,0.09653192,0.17853971,0.11808636,0.04646894,0.06454744,0.13417824,0.1910782,0.1055175
48,0.04577978,0.10930315,0.14208071,0.1530569,0.07038928,0.059216894,0.117642045,0.1719085,0.13062271
49,0.05440794,0.085364945,0.18127856,0.26065484,0.054420102,0.061956506,0.11834583,0.079321675,0.10424959
50,0.050493743,0.07650435,0.26177165,0.11961163,0.08456367,0.06895614,0.13540064,0.06937147,0.13332671
51,0.069268584,0.07055597,0.13101557,0.24512081,0.062413905,0.10154287,0.12794939,0.09343364,0.098699234
52,0.055322103,0.08007087,0.19750161,0.23799461,0.05874744,0.07743856,0.09205303,0.1126679,0.08820386
53,0.058958255,0.14725319,0.18850552,0.13155285,0.062075716,0.1306575,0.078855865,0.10015883,0.10198231
54,0.05659798,0.07943453,0.17618747,0.16318157,0.051171638,0.07122839,0.13272896,0.16679041,0.10267913
55,0.07361153,0.10413162,0.2509959,0.1879016,0.04599158,0.051076274,0.103802264,0.07034967,0.11213957
56,0.056126285,0.06857105,0.21069062,0.1735675,0.052926723,0.05397777,0.116542086,0.07788326,0.18971466
57,0.06365316,0.08641219,0.17164603,0.1552988,0.05703925,0.107800595,0.15674673,0.09581767,0.10558557
58,0.05365626,0.074548595,0.17413738,0.19390884,0.055696487,0.065169066,0.09544226,0.20284699,0.08459418
59,0.0536439,0.08654142,0.23996878,0.20744917,0.07149214,0.091363974,0.09502057,0.08467677,0.06984327
60,0.061610155,0.06881979,0.19575015,0.20902203,0.043476533,0.04431773,0.104052275,0.19132234,0.08162891
61,0.052049585,0.075863466,0.11009369,0.30023116,0.08990901,0.056834508,0.124297455,0.08653265,0.10418849
62,0.053979866,0.074071825,0.14209573,0.27364463,0.05985006,0.08625147,0.116170816,0.10205696,0.09187865
63,0.053197414,0.095892355,0.16348132,0.12081854,0.069576904,0.08765209,0.16727023,0.114406094,0.12770505
64,0.06759437,0.11966196,0.1431819,0.15055367,0.06586649,0.06419093,0.10930579,0.15537128,0.12427356
65,0.053598814,0.102978975,0.11166122,0.21109992,0.08389128,0.050810784,0.104551315,0.11068787,0.17071976
66,0.06718382,0.084108755,0.0826973,0.27121344,0.064132206,0.07672226,0.102779515,0.07263344,0.17852919
